"215918_s_at","230469_at","217046_s_at","205941_s_at","228540_at","202524_s_at","1557729_at","217428_s_at","217771_at","207302_at","206208_at","239650_at","229893_at","206209_s_at","213715_s_at","241672_at","205637_s_at","232224_at","205107_s_at","230132_at","229641_at","217177_s_at","204396_s_at","231991_at","203435_s_at","220027_s_at","238062_at","210608_s_at","242324_x_at","222416_at","49111_at","202523_s_at","221861_at","226028_at","226950_at","225314_at","1552797_s_at","207547_s_at","205200_at","209470_s_at","210081_at","206283_s_at","219719_at","209469_at","227929_at","212115_at","227780_s_at","235228_at","1556579_s_at","209793_at","235108_at","226244_at","237390_at","238206_at","228568_at","242600_at","204271_s_at","209875_s_at","227779_at","43511_s_at","219508_at","1552388_at","210838_s_at","202148_s_at","239942_at","223449_at","227463_at","200878_at","225681_at","236154_at","209904_at","226673_at","230670_at","219125_s_at","212975_at","227452_at","209074_s_at","228434_at","222738_at","201004_at","204500_s_at","220677_s_at","63305_at","228546_at","225660_at","230482_at","204677_at","243813_at","226140_s_at","216620_s_at","1552509_a_at","224762_at","233903_s_at","219059_s_at","235642_at","209789_at","226694_at","208981_at","229172_at","236088_at","condition"
2.91429279671806,2.37803434518602,3.1181620146749,3.35167496719724,2.97025547436695,3.26325079386123,2.86341716285639,3.1713189330234,3.71290387463452,2.53873928265421,2.98112747114803,2.3556196109458,3.06044865309966,2.85131329420532,2.91389468198778,2.34807091448612,2.81832703914755,2.850665426651,3.20246944138287,2.86735683466367,2.97679619607594,2.90840174830559,3.24896891517015,3.01949554626205,2.84961102021668,3.05628004496747,2.86379575924277,3.41922470034638,2.92807085572807,3.5181951969621,3.09135456140066,2.99289348308498,3.17986769899794,3.19136050763739,3.22900949834147,3.76825844298518,3.6983963033252,3.18223939814594,3.41855023931997,2.7637876035497,3.33588337735403,2.73464242835692,3.21602952171698,2.57506782641404,2.94722664288789,3.44661752019424,3.14882837891892,2.67375088074887,2.57336725477923,2.62655828553753,2.77247689891397,3.16782033823297,2.33451393045983,2.54600295384584,3.39452648904592,2.79274501215871,3.2731876280484,3.28992887158001,3.08889125061895,3.16234862636596,3.28720039743073,3.01087112302044,3.10506453389886,3.29026072006096,2.49602766039675,2.98787564195643,3.07229963352239,3.72487942596748,3.55634357468687,2.50832722928032,3.09845829952298,3.18576190649175,3.06909891289286,3.40946425712834,3.09075182863123,3.31288876234705,3.17337692457449,2.97587960093357,2.94146318354574,3.79234521848067,3.1810357430419,2.7665612405066,3.0834142250803,2.45115834944889,2.86931079741819,2.57745058159801,3.18004121493112,2.66155807890759,3.43414113159977,3.2488247425651,2.73430208598703,3.53237930435734,2.61616476010181,2.88819382445904,2.57485233780251,2.47807615041693,3.56268203572471,3.4931861716631,2.96820874400299,2.73143742899728,"Normal"
2.8050117322597,2.31408742029116,3.05656618817753,3.38773888294007,2.9604746414249,3.23941179018314,2.67368304997261,3.13667373551444,3.28622025393126,2.68958767069402,2.97145526521016,2.14007840255852,2.79837407363125,2.99095486039699,2.82554346227566,2.55374140318694,2.79770613523994,2.81958235489286,3.1478309238458,2.94262897806265,2.94997374437868,2.86023977983313,3.15080660324241,2.85455625374122,2.92266027413939,3.11005081493782,2.97796858874006,3.23836499300691,2.7880216257791,3.42413604860512,3.05363096072229,3.01307093712455,3.14574755053995,3.17772648293207,3.1056847818522,3.75112089575175,3.31472117450672,3.11694857069882,3.34825083529959,2.48155728070859,3.2537805593998,2.76837702419871,3.22409122466278,2.60143267168133,2.81491745908942,3.54982932439474,3.08708259857009,2.57853059602321,2.50991368636963,2.62811099295697,2.96885568461074,3.15210227531977,2.3227069399402,2.43629778532427,2.91210372158115,2.706207830155,3.17195616794726,3.69689521585143,3.0439183887475,3.09212115802292,3.25859580609754,2.84053775859948,3.05300530316854,3.41080645882314,2.33508874183954,3.13240739419113,3.20085741961339,3.72123046114599,3.40023050442203,2.45446545619504,3.02436932861289,3.2038808329393,2.95469511739935,3.48122143077769,3.25184783130114,2.72288347127194,3.15233595692309,2.95433778064149,2.88871597744311,3.78076152685681,3.14383908971537,2.86739439781938,3.02177640881412,2.41126895085051,2.98169741825672,2.72979419638804,3.14485398746566,2.59917732645192,3.3463016790851,3.2303321490866,2.69881188402052,3.53607777407821,2.59991998127894,2.77883725254527,2.46273030468263,2.42954633825982,3.45642374495071,3.4279560777493,3.11069230601861,2.64449545056712,"Normal"
2.8418483616607,2.37873078527594,3.03054443298809,3.78152758099914,3.01814452894376,3.44594912816979,2.96057287138212,3.6830563620006,3.343426300047,2.75132660077569,3.26110802409476,2.47616390584127,3.03678112029844,3.30172517892563,3.12433640731244,2.34712135432823,2.80264198559415,2.94519753297145,2.99496342644666,3.20676042256786,3.04575573047693,3.24120867565917,3.45867859764703,3.26780243979967,2.94591291400414,3.44092164339122,3.35396544396591,2.87458059458958,2.9546485941873,3.29788251180932,3.21193266950865,3.09856441292252,3.26327483497207,3.49128873189744,3.43313572589519,3.39739089997864,2.91139438484257,3.42434166955473,3.55574254629401,2.7950874080476,3.30343153719263,3.30505997920033,3.40076469904908,2.7254597871779,3.23106216342956,3.43872932057924,3.39372233566497,2.89178467513885,2.83475368307408,2.69661706521243,3.2837054999624,3.37032054078602,2.29815387058112,2.69335982746556,3.08806525280199,2.78160940931142,3.51893792953157,3.77945935117593,3.24896891517015,3.24464202365149,2.93933755000171,3.08089297738709,3.14020931684207,3.21306882638587,2.77974298954434,3.28240125354469,3.29574359234709,3.87451174236722,3.76857604932692,2.64002855189746,2.66164700248879,3.43233544034011,3.1008044466651,3.22103719741386,3.28923838213703,2.90069681347899,3.61044022135846,3.39517524855085,2.87214910487449,3.67175758740136,3.25938247421619,3.17380543677544,3.18791023622707,2.51504882310096,3.11948732517311,2.83552394367615,3.48195761500915,2.61849709572691,3.37288107546186,3.40056935157671,2.88290515590404,3.15149679899435,2.65814977407983,3.16218263903038,2.54519987994709,2.89685113587199,3.68093191635457,3.66925358652116,3.31774543541892,2.73499569251166,"Normal"
2.80149186567655,2.24711026102921,2.95690417267393,3.53932013572688,2.94992706866259,3.16472675448399,2.8835817183293,3.46319083920871,3.38213599972247,2.70981335252227,2.98383818787383,2.31151183438858,2.84115395072893,2.77483554388008,2.95330808148515,2.28572475462002,2.79219943280544,2.87723185501408,3.30403493230241,3.00663015565091,3.0665232256394,2.89738565602046,3.20492791040476,3.01286540553388,3.05163138066601,3.05520606826884,2.93391816388687,3.34881595238648,2.8082861902212,3.39379371211092,3.17664191765689,3.00551137459139,3.21128169988993,3.08840113648222,3.14951626982967,3.72012521179353,3.30861716585343,3.21560405285009,3.33492575889042,3.16729208641345,2.97539356929317,2.84627265751337,3.1953806728294,3.22778573586114,2.95171646792575,3.53455968460832,3.13640633052265,2.74540084981737,2.72303424696587,2.74490593682071,2.85500298697162,3.10813132109104,2.24991857666107,2.56778879672772,2.9767687066931,2.60776350112655,3.25059327558675,3.53396196534515,3.08800926458512,3.22172089663268,3.39497228539239,2.83416105057015,2.97075796221019,3.21320728296932,2.33548611430738,2.99229530871933,2.95551368046547,3.69037239476124,3.54041170519093,2.55421308812289,2.97276065204065,3.09955611158589,2.89720944118751,3.47429325934966,3.1170250644295,3.23548199528152,3.24315112871702,3.10131726322417,3.05882905486792,3.81523725758137,3.10539815985813,2.94726779455202,3.09031824712117,2.53949881271045,2.80492502724622,2.82927317834928,3.19791413022778,2.85728435349115,3.42372337435884,3.26827867711556,2.61565405867362,3.28618919777957,2.75696562292162,2.92141157473918,2.54298850007547,2.70248467556423,3.46337396549482,3.40180929071193,2.98622523889256,2.7193170780241,"Normal"
2.70349499417827,2.30620098368448,3.04989907011307,3.62924003395155,3.01972326119028,3.08878781478442,2.80626011952396,3.53580413827031,3.57736839975281,2.59381268298466,2.89906345948135,2.54316672333929,2.62699040954524,2.61342321097989,2.93700345395373,2.27213370183963,2.75880417398512,2.76454786008175,3.39448807553012,3.05768766913208,2.80575676769212,2.82035667107131,3.14840702607633,2.95263735775668,2.9166390579159,3.01409458442723,2.9163906534289,3.34158304537306,2.80538945758555,3.38969758448913,3.07652318122341,3.0423186437577,3.16317022413841,3.11638472004593,3.1719305558923,3.68016679964048,3.39860621258051,3.04995307300291,3.14866408221592,2.31395106148361,3.18040091543278,2.91623203434404,3.12386480990996,2.52553271079068,2.88008599176827,3.56044595235571,3.15765494692794,2.65624693779547,2.55407552927948,2.47657869985261,2.72526999548053,3.11131347861518,2.25815104333887,2.55358659795829,2.83429861154907,2.61775689359751,3.47108338485376,3.91656263032139,3.15571199926892,3.16866128847807,3.12707359037537,2.86390674249222,3.01281535862679,3.21985775101422,2.44642299050373,2.97379125679905,3.11819358383957,3.66476725535641,3.74122966377296,2.6705027311177,2.9446729445198,3.13547741034838,2.69732679947033,3.43527921154593,3.14900892104394,3.1831275825494,3.00856756231983,2.98408254092215,2.94329499159681,3.82873311915091,3.1693718623182,2.85052741727223,2.92206080489163,2.50236624852336,2.69903851395296,2.9108957232706,3.26149470980623,2.53947647929765,3.3118155105655,3.2189113298858,2.52328844533308,3.31100168890683,2.75572722684669,2.8538978678505,2.63164446411295,2.62195339060968,3.5498909172258,3.50913841571771,2.98309575722233,2.61446957121981,"Normal"
2.8184354401045,2.43927472120219,3.16529454234037,3.38274332765895,3.03311989361046,3.42703890513574,3.05737401962009,3.16469779614007,3.39838320825087,2.77461629764419,2.88129068381805,2.44696019917502,2.99214844618483,2.49631405857946,3.11358549231906,2.37133303180095,2.85900743078564,2.94783818535156,3.08666659335448,3.20509218094206,3.10137105636451,3.03872061880067,3.41185465169275,3.10190215595312,3.07267521812188,3.23282496911387,3.07894792672796,3.14576874148524,2.86282429145152,3.33415348412221,3.26686897805619,3.1360174385008,3.29408253244862,3.35956193189013,3.29154462320587,3.50994914630431,3.24090350032156,3.32695577256089,3.42059692925028,3.22913566386267,3.33148595833945,3.0089851988873,3.34504999616071,3.13828040255179,3.18979926208766,3.48027804937146,3.38391022897148,2.73421536171991,2.82754265092778,2.74403620014595,3.08913370227982,3.26941472175267,2.44304431515173,2.49732878015745,2.94307177061219,2.68718837464164,3.34306949551733,3.41195902248105,3.38627707812545,3.32545837490823,3.29431343130755,2.90081272099381,3.09455531948833,3.19117413190696,2.73325020247652,3.14591706938756,3.14849000489965,3.80846742917727,3.53096964878385,2.76740903189433,3.12932093871621,3.33258764437445,3.01673342156897,3.28622025393126,3.24862439460402,3.0040392962748,3.4033236290979,3.26608938194531,3.04557052900024,3.78629315498617,3.26332892600673,3.05654364562046,3.1286497409523,2.47885276160708,3.03472282367831,2.83786051155164,3.3979767865613,2.57151906345367,3.52416399878694,3.21834100892548,2.75088086948114,3.07216240928222,2.56405129952613,3.04578193631296,2.73810631484797,2.74546969382583,3.6930631471469,3.6167693662935,3.0447158481943,2.73893425045015,"Normal"
2.9232176521783,2.54993033525771,2.78730081049783,3.45032444758805,2.89651792892094,3.08388391663637,2.85874094597964,3.34868142077591,3.5087582288652,2.57534137794617,3.05393847621741,2.16727442115646,2.79940234300544,2.64194595160415,2.73535536957827,2.24141310702649,2.75420767234949,2.84771635524252,3.16790060273573,2.92943501329393,2.92252517741721,2.80286941870243,3.02452358554419,2.83079684172652,2.86063311480027,2.94726779455202,2.8791097474052,3.01931761896217,2.84812914753941,3.35324000205872,3.03574178365635,3.04735167086423,3.12788416139608,2.99097845144377,3.08610776901376,3.63849094171046,3.47614834874565,2.97986255359615,3.22168687401592,2.38697920510645,2.86063311480027,2.61408552262231,2.98537109199746,2.38849540568414,2.70837928822342,3.54695617814141,3.0660874678358,2.61846890450769,2.29338225645408,2.38952551264945,2.76136187460448,3.11485839050022,2.18434377795291,2.47269571251829,2.89704288870395,2.60927035837485,2.84880018387334,3.80492089830607,3.09905782191457,3.04899814317195,2.83047438945901,2.93830837793099,3.04045412134962,3.39087950738119,2.3238744197187,2.87316945137569,3.04896850932574,3.60491344090282,3.68500943891224,2.40676521940287,2.49675121759418,3.04753140908977,3.05959409172142,3.38813166284177,2.9588092748428,3.33635480664323,2.74591494916413,2.67355190142807,2.57564633885852,3.74931972457408,3.17323779063204,2.87099788675226,2.90237270245468,2.49006176042897,2.81953535135089,2.7945531108095,2.99681534506102,2.32900300778587,3.28686932237051,3.1341519253631,2.68398384196883,3.3976126887743,2.62185964260719,2.9049156376131,2.52780351081782,2.45470232816369,3.50449327710845,3.44289441021691,2.99369790837014,2.70093902616461,"Normal"
2.63651790066189,2.29442960210933,2.91115274729764,3.64801668818068,3.06183494085946,3.13446903568372,2.81364781591048,3.53503270346133,3.49922084954483,2.90708101878626,2.99195441966838,2.44046856172981,2.75990362513456,2.61135182031327,2.83823982143391,2.41803878769347,3.18769333043526,2.91911884588313,3.31295263849399,2.97054263170749,2.82678031674746,2.8719953994326,3.18893890712028,2.92955052850546,3.14527474851576,2.96631232981517,2.90192882003766,3.01587753276517,2.80297485279791,3.41782146707959,2.99339358398245,2.99266149337935,3.0874730249441,3.11524303791206,3.22932950645655,3.50229240773071,3.21745718605304,2.96637878334427,3.14062652685658,2.34166416397467,2.77357653258995,2.81070426662045,3.09761416740529,2.33355254003222,3.01814452894376,3.49482519059568,3.1263071737408,2.60369399059191,2.68905980987699,2.50710451814999,2.77671252958959,3.08004361990506,2.21333483794896,2.66839601566374,2.81056443731364,2.71450710265055,3.13313604592598,3.91199830169935,3.1578052908942,3.08610776901376,2.79586043737535,2.92178667882215,2.98182343385378,3.23841849741086,2.44922063385549,3.05983113619282,2.99465755886233,3.68383117440132,3.81003172801094,2.67458493854241,2.52694518304753,3.1613927289051,2.90741948683271,3.31303973777323,2.98674767649521,3.32032581396146,2.84045719115515,2.78891326684793,2.88686810997297,3.71888764124466,3.24568275685619,2.76053394007066,2.91001689228546,2.47657869985261,2.87556383916234,3.03155576127449,3.16652103754787,2.63665477907953,3.42253308233993,3.27582205917617,2.64549877252771,3.36194517696378,2.90723872400592,2.83901830481146,2.50859598531011,2.77347314784795,3.52351177448721,3.39173748022321,3.15731701997513,2.57466345614605,"Normal"
2.84182622618009,2.57027590287977,2.97596945300041,3.63300101151932,3.04514237798148,3.24865778786305,2.94810553684795,3.52955861449035,3.48043316814096,2.64136568093542,2.89209759950853,2.39497228539239,2.88342727104211,2.74647186262006,2.99671593716537,2.30404369647354,2.75507557459101,2.84580715809695,3.26426317879905,3.12466395267322,2.89194406124944,3.02293235120358,3.26683900137893,3.02755041963175,2.84419279867071,3.07458935136969,2.99232250384443,3.44916779862452,2.76194901571691,3.36617251593951,3.05724923400345,3.0799071303079,3.12098223517691,3.23249345585673,3.27513074435426,3.7506172231839,3.3614076405672,3.09996000393324,3.31805503532339,2.88589059032983,3.12544116169623,2.81647478359992,3.29365446292756,2.84669589082635,3.04789430734843,3.45418905640167,3.21242615165503,2.88544941649456,2.70737901214352,2.55866438186817,2.88843544112221,3.21362723851195,2.23428670907804,2.63994291491241,3.10901948804966,2.70863752502033,3.23367642484388,3.84322009858875,3.208495410083,3.1971168069837,3.32585265335356,2.83907879111179,3.03014535454754,3.11457025404935,2.49764812919557,3.0617865642204,3.09759057178782,3.69875188778468,3.77345837799429,2.69522773460492,2.92310543295874,3.22990780259377,2.83162191020645,3.29004834582676,3.16766140134212,3.33917159862553,3.11178085152809,3.02410332964694,2.92239197107992,3.83864928345343,3.24203995097048,2.82178775525858,3.02238201795585,2.44173576979886,2.83113544042462,3.01447134669732,3.28957186488159,2.58750661294916,3.5137054915636,3.23465152960799,2.64047054306897,3.38561740202717,2.49701958294109,2.99017795505087,2.6624971999649,2.66282757049026,3.61025121684943,3.54674632530528,3.08723368913422,2.69329291242152,"Normal"
2.74858359926883,2.29018550776172,2.85265010087328,3.75084229010552,3.05651416636049,3.16587818188799,2.65608444004934,3.61894338330183,3.51764104568817,2.74836891474269,2.74236845651623,2.17696737285835,2.6429487378002,2.69688409085545,2.82463141681524,2.33994974131629,2.82776822460179,2.76136187460448,3.32374042374355,3.00637343349356,2.75503924432814,2.83510752837994,3.13532143754823,2.84967706828865,3.22365268314331,3.13412399002548,2.86225895302729,3.34765431877084,2.68102865221771,3.4255009306971,3.07507904363553,3.03590714278202,3.13825090846544,3.13157631498422,3.23285105720166,3.80846742917727,3.50491271508499,3.04826060243193,3.2540542919003,2.6795994511923,2.81578853852567,2.71244390981782,3.06577391637883,2.82197954738265,3.06556024887563,3.49032623789441,3.12273897195455,2.41696401366128,2.45689812139247,2.50186456599937,2.72462189772395,3.04324125153726,2.38669784357486,2.58710331369636,2.93908173666612,2.70359244364376,3.0810805190646,3.89186631412697,3.0677402388369,3.12730640789563,3.09499438348378,2.85554526284563,2.90093248231037,3.29568335722671,2.38981182885373,3.00748616440633,3.05538309522242,3.6565192521332,3.76440985444126,2.62323712520159,2.74964152725378,3.09987586901825,2.87277951995602,3.29250790560961,3.07607161580921,3.29194827852574,2.92936872989802,2.74029077801592,2.86359358924096,3.77758804203593,3.12622621372772,2.62798963845079,2.85925398482326,2.43908584969038,2.88432244445319,2.98216124745004,3.09935243964512,2.55788057735742,3.40763147302063,3.26660066463294,2.663611043572,3.41267856877932,2.49352693359103,2.88933919625197,2.55866438186817,2.66016650911647,3.53530648561242,3.40188572785123,3.02281165091563,2.56767929471951,"Normal"
