"215918_s_at","217046_s_at","205941_s_at","202524_s_at","217428_s_at","217771_at","207302_at","206208_at","206209_s_at","213715_s_at","205637_s_at","205107_s_at","217177_s_at","204396_s_at","203435_s_at","220027_s_at","210608_s_at","49111_at","202523_s_at","221861_at","207547_s_at","205200_at","209470_s_at","210081_at","206283_s_at","219719_at","209469_at","212115_at","209793_at","204271_s_at","209875_s_at","43511_s_at","219508_at","210838_s_at","202148_s_at","200878_at","209904_at","219125_s_at","212975_at","209074_s_at","201004_at","204500_s_at","220677_s_at","63305_at","204677_at","216620_s_at","219059_s_at","209789_at","208981_at"
8.347264325,9.504695714,7.721757092,10.25924948,5.835083562,7.822923019,7.32479436,7.798334288,9.539948641,8.570256001,8.613237083,7.06091352,5.781462271,9.935203838,9.569238828,9.819946215,6.218777727,8.574791553,8.594117283,9.837575633,8.731544203,11.16047371,7.720869904,12.14507533,7.304277035,9.415006339,6.422875095,9.812282367,7.018778233,9.542728364,6.81738797,9.06742827,6.740017181,7.261509922,8.145120157,12.50249411,9.092901523,8.746119169,9.047045311,10.59964131,11.21163072,7.079479535,7.101714148,8.518193784,8.967646161,9.854730565,8.308168801,8.19996082,10.90446659
7.103623474,6.46088811,9.038452876,8.243137953,7.996930969,9.69483626,6.899231785,5.629186078,7.228189073,7.308054241,7.673128975,8.005296221,5.23015737,6.739468213,8.593751842,7.900689679,7.753471766,7.721826043,8.155240564,8.9800351,7.392526231,6.953248273,6.17748304,7.41971238,5.730961937,7.926550458,5.197527057,10.20225416,6.461926512,7.503784962,13.01259513,8.22214359,8.34425697,6.66323082,9.380791748,10.45233501,5.418698679,9.697730303,8.090567109,6.909819104,11.84821379,6.737040344,5.879702397,7.703416265,6.26540046,9.132546989,8.015242123,7.138564257,9.050440098
7.522149268,7.251646335,8.132222704,8.052290944,6.570910748,9.486752475,6.914554154,6.319747125,7.52674797,7.084894985,8.074534186,7.031815793,5.361655622,8.182804337,8.848750591,8.071715147,7.686100328,7.814698753,7.97365007,9.194969708,7.281543001,8.184919527,6.419380899,8.944808897,5.941181815,7.844904158,5.124990522,10.53468727,6.33588095,7.735993618,11.59981859,8.234981952,6.910582798,6.670676413,8.912713121,11.3834869,6.118087804,9.042386348,8.311650236,8.226489127,11.05774108,7.033967256,5.598136024,7.66542418,6.576429615,9.1162311,7.971507406,7.225717662,9.309743797
8.16165656,8.457558689,7.21776555,9.270639587,5.822251701,7.67992118,7.079694843,7.325012703,8.88165095,7.57504636,8.328096731,6.715465136,6.050742936,9.263790887,9.198768155,9.106769192,6.73948855,8.613606037,8.363878197,9.874965084,8.191934661,10.42326907,7.581956168,11.0174357,6.233709843,8.874921293,6.175823743,9.509957176,6.483249777,8.897088435,8.229329699,9.168118285,6.633577117,7.194686085,8.065521538,12.36246625,7.954839138,8.78864398,9.048695074,10.29925329,11.11011992,7.360608073,6.442779625,8.348060942,8.186649455,9.45425379,8.743411623,7.474346398,10.60641902
6.946762857,6.226780749,9.846026822,8.514473756,9.697251034,8.508966035,6.819473529,5.857028646,6.809875612,7.365329937,7.94224571,7.753299166,5.197163561,7.154326659,8.704929927,8.455168804,7.469767364,7.573123939,8.101794383,9.093957113,6.968510759,8.95727707,5.995814784,8.146814261,5.556184803,7.817157742,5.596306624,10.63188848,6.31787799,6.901511906,11.21106093,8.498747798,8.283978525,6.7971524,8.665360738,10.65077335,5.301969352,9.034926699,8.328392438,7.00479402,12.43493967,6.471322626,6.009176381,7.714271276,6.876858022,8.279570032,8.066376087,7.216269792,9.690126087
8.230070257,8.863911196,7.57000955,9.67017298,5.810157336,7.400194517,7.698878984,6.809097231,8.712782705,7.988543386,8.651192017,6.66689723,6.640844835,10.1822979,10.16093252,9.574190412,6.237374647,9.102168808,8.479809976,10.2134234,9.460371212,9.408935423,8.913690218,11.27088146,6.715037271,9.079203618,7.711359688,9.38578122,7.467574835,10.02572267,7.022259379,9.507769161,6.861735093,7.394666358,7.917066399,12.77804512,8.08998355,8.526895845,9.207216779,10.98143526,10.11474901,7.276790937,7.628710202,8.71411214,9.116374451,9.68960711,9.177614285,7.483276089,10.55439665
7.150212342,5.896832266,8.659528115,8.140230454,7.653088089,7.802985328,6.726623796,5.805011234,6.749515966,6.73947922,7.840757983,7.623669401,5.368151485,6.874428296,8.35665245,8.155235372,7.169361574,7.560388516,7.852425307,8.953320881,6.996253638,7.195706101,5.944986043,6.685747996,5.816943127,7.710346074,5.19355246,10.09131591,6.001582047,7.326463965,12.00519196,8.121947981,9.221865766,6.54854482,8.958247589,10.68376985,4.899354989,9.310748986,8.158497315,7.036560435,11.55665915,7.051045161,5.362363497,7.513762887,6.57217796,9.604975987,7.83234431,7.168455945,9.000907771
7.102947309,5.829663763,7.589256921,7.523331024,5.896993898,7.709157734,6.744535816,5.606948284,6.595785198,6.665290691,7.910961988,6.495109164,5.398311053,7.414690466,8.479366377,8.385470156,6.275356656,7.609777825,8.075299801,9.069402941,7.084093688,6.327324479,7.932183886,6.593288507,5.82930738,7.633975913,6.814016721,9.92980963,6.173895931,7.627045043,11.34191086,8.138251792,8.43053391,6.546154568,8.773833678,9.263436698,5.025207972,8.820069264,7.721301708,6.482680257,11.48690682,6.659753177,5.280783474,7.338429644,5.736560608,10.77918072,7.792552147,7.181010566,8.603319592
9.18491455,10.38264704,7.518391122,11.24907388,5.743053461,6.918928862,7.755618524,8.300926659,10.21350349,8.213796172,9.209878659,6.673617842,6.94153933,10.55746214,10.76740199,10.02358293,6.451672608,9.083920911,8.973873626,10.3187402,8.48067743,10.48822921,9.680734797,12.79888208,7.049320444,9.604300757,8.831456121,9.432696925,7.809992447,10.90332995,7.514881288,9.740808568,6.644211619,7.088163474,7.735780541,13.58452196,9.156681453,7.95150092,9.531195701,10.13822762,10.40873234,8.267547424,6.878096553,8.902281035,9.741265478,10.66224609,8.369991995,7.970948436,11.20260773
8.554118523,8.785345473,7.490304944,10.22636007,5.770335207,6.509211475,7.764768479,8.01940308,10.19380514,8.660614751,8.560014942,6.356957136,6.961963465,10.05349692,10.05149454,10.52701499,6.632979229,9.043840464,8.330426863,10.0935387,10.08222004,10.89482257,8.616079071,11.00974535,8.245743355,9.778495712,6.851183488,8.605204846,7.439151395,10.69677847,8.142947303,9.273754577,6.784779858,7.610459674,8.184424892,13.83635009,7.514309076,8.637679059,9.508502978,12.39400595,9.843517936,7.585201224,8.049783835,9.245495365,10.13152052,10.41848192,9.572568452,8.186101325,11.57668967
7.464089024,7.114687757,7.976305407,8.878531925,6.381549344,8.292490294,6.254420502,5.627232959,7.008759197,7.023826141,8.111492635,6.974101416,5.496740405,8.055135338,8.997042197,8.188577216,6.448511878,8.154050219,7.782085992,9.657607185,7.577000195,7.869790413,6.328876009,9.178185076,6.20155968,8.168752659,5.307591795,9.780410085,6.905921206,7.65200799,9.170962008,8.521489245,6.976781355,6.942594537,8.745017336,11.69975733,5.224723068,9.058678034,8.780744988,8.19931093,11.84379723,6.625952505,5.715634626,7.963045681,7.493065349,8.65669807,8.302012658,7.697918703,9.655609144
8.636797179,10.27536212,7.302324061,10.83545825,5.903784079,7.592160674,7.94812932,8.60089645,10.11139713,7.900297637,9.091197362,6.525111102,7.070271233,10.26114474,10.61200091,10.44020905,6.450452908,8.818832852,8.659906645,10.27962102,9.327834345,9.55906415,10.63703927,12.6559834,7.308756787,9.419498814,9.361088846,9.80974295,7.152960703,10.28081923,6.40772576,9.674200297,6.714864027,7.196809443,7.728706927,12.89613745,9.483543063,8.341558204,9.599424361,10.95201972,10.81828163,7.800477116,8.352976187,8.903392894,9.555142068,9.75253333,8.892760009,7.868255553,11.22086156
